user_id,book_id,rating
U001,B001,5
U001,B002,5
U001,B003,4
U001,B007,4
U001,B020,5
U001,B004,2
U001,B011,2
U002,B001,4
U002,B002,5
U002,B003,5
U002,B020,4
U002,B010,2
U002,B014,2
U003,B007,5
U003,B008,5
U003,B009,4
U003,B013,5
U003,B016,4
U003,B018,5
U003,B005,2
U004,B007,4
U004,B008,5
U004,B009,5
U004,B013,4
U004,B016,5
U004,B018,4
U004,B011,3
U005,B004,5
U005,B005,5
U005,B006,4
U005,B014,5
U005,B015,3
U005,B001,2
U006,B004,4
U006,B005,5
U006,B006,5
U006,B014,4
U006,B010,3
U006,B003,2
U007,B010,5
U007,B015,5
U007,B017,4
U007,B020,3
U007,B004,3
U007,B011,2
U008,B011,5
U008,B012,5
U008,B019,5
U008,B007,3
U008,B008,4
U008,B015,2
U009,B011,4
U009,B012,5
U009,B019,5
U009,B008,3
U009,B013,3
U009,B005,2
U010,B001,5
U010,B002,4
U010,B020,5
U010,B015,4
U010,B003,4
U010,B014,2
U011,B007,5
U011,B009,5
U011,B016,5
U011,B018,4
U011,B008,4
U011,B012,3
U012,B004,5
U012,B006,5
U012,B014,5
U012,B005,4
U012,B017,3
U012,B002,2
U013,B010,5
U013,B015,5
U013,B017,5
U013,B020,4
U013,B004,3
U013,B008,2
U014,B011,5
U014,B012,4
U014,B019,5
U014,B013,4
U014,B008,3
U014,B004,2
U015,B001,4
U015,B003,5
U015,B020,5
U015,B007,4
U015,B018,3
U015,B005,2
